"Z_Ji_[14,1]","Z_Ji_[14,2]","Z_Ji_[14,3]","Z_Ji_[14,4]","Z_Ji_[14,5]","Z_Ji_[14,6]","Z_Ji_[14,7]","Z_Ji_[14,8]","Z_Ji_[14,9]","Z_Ji_[14,10]","Z_Ji_[14,11]","Z_Ji_[14,12]","Z_Ji_[14,13]","Z_Ji_[14,14]","Z_Ji_[14,15]","Z_Ji_[14,16]","Z_Ji_[14,17]","Z_Ji_[14,18]","Z_Ji_[14,19]","Z_Ji_[14,20]"
0.081593968,0.121039585,0.142294728,0.144937996,0.132403938,0.110342882,0.084706189,0.060260479,0.039887942,0.024635704,0.014226372,0.007693084,0.00390035,0.001855731,0.000829215,0.000348204,0.000137481,5.11E-05,1.78E-05,5.87E-06
0.080801023,0.120008802,0.141339894,0.144315128,0.13223533,0.110604096,0.085267894,0.060955043,0.040568452,0.025208356,0.014654443,0.00798241,0.004079042,0.001957281,0.000882574,0.000374219,0.000149281,5.61E-05,1.98E-05,6.60E-06
0.080023299,0.118994995,0.140395872,0.143692258,0.132056218,0.110848612,0.085812408,0.061636423,0.041241752,0.025779331,0.01508455,0.008275426,0.004261525,0.0020619,0.000938059,0.000401537,0.000161802,6.14E-05,2.20E-05,7.40E-06
0.079260363,0.117997763,0.139462551,0.143069648,0.131867117,0.111076972,0.086340094,0.062304725,0.041907734,0.026348417,0.015516483,0.008571986,0.004447728,0.002169576,0.000995688,0.000430186,0.000175066,6.71E-05,2.43E-05,8.27E-06
0.078511798,0.117016716,0.138539816,0.142447542,0.13166852,0.111289697,0.086851309,0.062960059,0.042566302,0.026915415,0.015950039,0.008871945,0.004637581,0.002280293,0.001055476,0.00046019,0.000189097,7.33E-05,2.68E-05,9.23E-06
0.077777203,0.116051475,0.13762755,0.141826169,0.131460899,0.111487296,0.087346409,0.063602546,0.04321737,0.027480131,0.016385019,0.009175158,0.004831008,0.002394034,0.001117437,0.000491573,0.000203918,7.98E-05,2.95E-05,1.03E-05
0.077056193,0.115101672,0.136725634,0.141205743,0.131244706,0.11167026,0.087825744,0.064232311,0.043860864,0.028042384,0.01682123,0.009481484,0.005027934,0.002510778,0.001181583,0.00052436,0.000219549,8.68E-05,3.24E-05,1.14E-05
0.076348393,0.114166952,0.135833949,0.140586463,0.131020372,0.111839066,0.088289658,0.064849481,0.04449672,0.028602,0.017258483,0.009790778,0.005228282,0.002630502,0.001247923,0.000558571,0.000236014,9.42E-05,3.55E-05,1.27E-05
0.075653447,0.113246968,0.134952372,0.139968515,0.130788311,0.111994176,0.088738493,0.065454192,0.045124882,0.029158817,0.017696595,0.010102899,0.005431972,0.002753181,0.001316465,0.000594228,0.000253334,0.000102053,3.89E-05,1.40E-05
0.074971006,0.112341384,0.134080783,0.139352073,0.130548917,0.112136038,0.089172584,0.066046582,0.045745304,0.029712678,0.01813539,0.010417708,0.005638925,0.002878788,0.001387214,0.00063135,0.000271529,0.000110402,4.25E-05,1.54E-05
0.074300738,0.111449874,0.133219059,0.138737299,0.13030257,0.112265086,0.08959226,0.066626792,0.046357948,0.030263437,0.018574694,0.010735066,0.005849059,0.003007294,0.001460176,0.000669956,0.000290621,0.000119244,4.63E-05,1.70E-05
0.073642321,0.110572121,0.132367077,0.138124343,0.130049632,0.112381741,0.089997847,0.067194968,0.046962784,0.030810955,0.01901434,0.011054837,0.006062292,0.003138665,0.001535351,0.000710063,0.000310628,0.000128597,5.04E-05,1.87E-05
0.072995443,0.109707817,0.131524714,0.137513346,0.129790449,0.112486409,0.090389664,0.067751257,0.04755979,0.031355102,0.019454168,0.011376885,0.006278541,0.00327287,0.00161274,0.000751688,0.00033157,0.000138474,5.48E-05,2.05E-05
0.072359805,0.108856663,0.130691848,0.136904438,0.129525354,0.112579487,0.090768024,0.068295808,0.048148951,0.031895753,0.019894019,0.011701078,0.006497722,0.003409873,0.001692342,0.000794844,0.000353466,0.000148894,5.94E-05,2.25E-05
0.071735117,0.108018369,0.129868355,0.136297741,0.129254663,0.112661356,0.091133237,0.068828775,0.048730258,0.032432795,0.020333743,0.012027283,0.00671975,0.003549638,0.001774152,0.000839547,0.000376334,0.000159871,6.44E-05,2.46E-05
0.071121099,0.107192652,0.129054114,0.135693366,0.12897868,0.112732387,0.091485604,0.069350311,0.049303709,0.032966117,0.020773193,0.012355373,0.006944542,0.003692125,0.001858166,0.000885808,0.000400192,0.000171421,6.96E-05,2.68E-05
0.07051748,0.106379238,0.128249002,0.135091419,0.128697698,0.112792938,0.091825423,0.069860569,0.049869307,0.033495619,0.021212228,0.012685219,0.007172012,0.003837294,0.001944378,0.000933639,0.000425057,0.000183559,7.52E-05,2.93E-05
