eff_tau_01,eff_tau_02,eff_tau_14,eff_tau_17
3.561708383,20.21237477,43.49749202,16.78793934
3.634704105,20.64760223,45.00539437,17.46040644
3.699937083,21.03857524,46.41804522,18.09810551
3.757694139,21.38682388,47.73516188,18.70029654
3.808282317,21.6940102,48.95717896,19.26656958
3.852022404,21.9618901,50.08514296,19.79680393
3.88924346,22.19228088,51.12061635,20.29112993
3.920278263,22.38703399,52.06559102,20.74989375
3.945459541,22.5480123,52.92241086,21.17362516
3.965116905,22.67707142,53.69370296,21.56300826
3.979574371,22.77604445,54.38231692,21.91885521
0.009791456,0.049075016,0.021603044,0.004461036
0.024463885,0.124472763,0.066422295,0.014795223
0.051809014,0.266932165,0.167222393,0.039674099
0.096681759,0.503441543,0.361227138,0.090402672
0.163432009,0.858800503,0.692215878,0.181350045
0.255356758,1.352466666,1.205751784,0.328669096
0.374392491,1.996652552,1.944209337,0.548675368
0.521040798,2.7957019,2.942615194,0.856256912
0.694473274,3.746491652,4.225844599,1.263585483
0.89274856,4.839507776,5.80728496,1.779264178
1.113081083,6.060262419,7.688789683,2.407930332
1.352116174,7.390793228,9.861604782,3.150255772
1.606182311,8.811070778,12.30792146,4.003249193
1.871504789,10.30021497,15.00274498,4.960757464
2.144375051,11.83747814,17.91583701,6.014072774
2.421276376,13.40299079,21.01356148,7.152571102
2.698970322,14.97828913,24.26052854,8.36432813
2.974550047,16.54665481,27.62098337,9.636677689
3.245467071,18.09330153,31.05992372,10.95669338
3.509537664,19.60544219,34.54395572,12.31158575
3.764934359,21.07226709,38.04191198,13.68901558
4.010167153,22.48485899,41.52526405,15.07732918
4.244058088,23.83606624,44.96836365,16.46572435
4.465712077,25.12035064,48.34854592,17.84435714
4.67448612,26.33362277,51.64612573,19.20439969
4.869958473,27.47307418,54.84431363,20.53805885
5.051898846,28.53701309,57.92907442,21.83856433
5.220240351,29.52470808,60.88894695,23.10013409
5.375053632,30.43624268,63.71484029,24.31792343
5.51652339,31.27238246,66.39981793,25.4879631
5.64492737,32.03445518,68.93887899,26.60709078
5.760617792,32.72424422,71.32874316,27.6728793
5.864005095,33.34389468,73.56764388,28.68356422
5.95554386,33.89583157,75.6551331,29.63797268
6.035720719,34.38268908,77.59189965,30.53545497
6.105044085,34.80725012,79.37960211,31.37581978
6.164035483,35.1723949,81.02071684,32.1592737
6.213222331,35.48105776,82.51840077,32.88636536
6.253131968,35.73619119,83.8763687,33.55793437
6.28428679,35.94073613,85.0987843,34.175065
6.307200329,36.09759781,86.19016387,34.7390444
0.015518411,0.077778659,0.034238518,0.007070265
0.038772644,0.197276034,0.105272243,0.023448849
0.082111753,0.42305897,0.265029633,0.06287921
0.153230262,0.797901074,0.572506432,0.14327858
0.259022279,1.361107071,1.097088233,0.287420452
0.404713187,2.143515212,1.910987794,0.520905413
0.593372111,3.164481037,3.081364143,0.869591855
0.825794013,4.430888909,4.663730789,1.357075751
1.100665964,5.937789115,6.697512337,2.00264803
1.414911116,7.67010293,9.2039264,2.819943684
1.764114631,9.604868652,12.18591043,3.816312391
2.14295972,11.71361787,15.62959029,4.992818928
2.54562741,13.9646061,19.50674094,6.344722393
2.966135199,16.32474059,23.77774838,7.862270734
3.39860542,18.76113852,28.39468812,9.531662999
3.837464446,21.24230886,33.30425053,11.33606125
4.27757969,23.73898848,38.45034653,13.25656671
4.71434412,26.22468057,43.77630851,15.27310487
5.143718667,28.67595042,49.22666166,17.36518875
5.562242352,31.07253186,54.74848026,19.51254844
5.967018836,33.39729266,60.29236732,21.6956276
6.355686621,35.63609995,65.81310831,23.89595638
6.726378772,37.77761913,71.27005342,26.09641443
7.07767667,39.81307272,76.62728129,28.28140015
7.40856123,41.73597946,81.85359308,30.43692233
7.718364032,43.54188824,86.92237932,32.55062965
8.006720089,45.22811778,91.81139569,34.61179194
8.273523395,46.79350884,96.50247752,36.61124527
8.518885911,48.23819383,100.9812166,38.5413113
8.743100366,49.56338607,105.2366194,40.3956992
8.94660696,50.77118994,109.26076,42.16939704
9.129963923,51.8644319,113.0484395,43.85855802
9.293821756,52.8465117,116.596858,45.46038567
9.438900921,53.72127271,119.9053054,46.97302114
9.565972679,54.49288986,122.9748735,48.39543471
9.675842809,55.16577376,125.808191,49.72732318
9.769337875,55.74448924,128.4091826,50.96901395
9.847293776,56.23368691,130.7828516,52.12137658
9.910546288,56.63804614,132.9350858,53.18574174
9.959923352,56.96222802,134.8724839,54.16382787
9.996238865,57.21083703,136.602204,55.05767499
0.024595024,0.123270868,0.054264394,0.011205615
0.0614505,0.312661443,0.166845261,0.037163921
0.130138359,0.670503282,0.420043661,0.099656831
0.2428536,1.264587981,0.907361547,0.227081246
0.410522646,2.157209331,1.738767671,0.455530718
0.641427175,3.397242667,3.028711546,0.825579443
0.940431419,5.015364454,4.883633054,1.378210211
1.30879531,7.022485668,7.391515179,2.15082012
1.744437994,9.410761547,10.61484171,3.17398323
2.242482995,12.15629392,14.5872403,4.469309548
2.79593327,15.22269094,19.31336648,6.048447529
3.396362272,18.56483323,24.77123125,7.913084729
4.034547553,22.13240914,30.91610092,10.05570733
4.701007485,25.87297024,37.68519155,12.46085936
5.386426595,29.73440072,45.0025479,15.1066678
6.081971277,33.6667907,52.78367995,17.9664463
6.77950693,37.62376123,60.93969247,21.01024234
7.471731903,41.56331771,69.38077334,24.20623993
8.152244699,45.44831861,78.01900096,27.52196944
8.815560039,49.24664421,86.77049366,30.92530519
9.457087533,52.93114179,95.55696252,34.3852525
10.07308446,56.47941222,104.3067473,37.8725386
10.66059193,59.87349138,112.9554225,41.36002958
11.21736157,63.09946793,121.4460565,44.82299857
11.74177826,66.14706972,129.7292025,48.239271
12.23278261,69.00924226,137.7626873,51.58927135
12.68979616,71.68173597,145.511256,54.85599342
13.11265091,74.16271361,152.9461197,58.02491339
13.50152429,76.45238502,160.0444428,61.08386191
13.85688025,78.55267318,166.7888017,64.02286867
14.17941647,80.46691331,173.1666347,66.8339903
14.47001767,82.19958504,179.1697021,69.51113003
14.72971483,83.75607663,184.7935665,72.04985577
14.95964981,85.1424794,190.0371023,74.44722143
15.16104498,86.36541018,194.9020399,76.70159503
15.3351774,87.43185929,199.3925455,78.81249599
15.48335709,88.34906151,203.5148393,80.78044324
15.60690887,89.12438757,207.2768512,82.60681492
15.70715735,89.76525377,210.6879125,84.29372002
15.78541472,90.27904741,213.7584816,85.84388207
15.84297093,90.67306614,216.4999032,87.26053428
0.038980487,0.195371159,0.086003269,0.017759703
0.097392479,0.495534993,0.264431918,0.058900845
0.206255399,1.062676088,0.665724339,0.157945433
0.384897017,2.004236882,1.438071139,0.359899522
0.650634548,3.418946383,2.755761046,0.721967534
1.016593563,5.384266776,4.800184311,1.308455239
1.490483353,7.948816981,7.740036781,2.184315981
2.074300777,11.12988973,11.71476209,3.408820167
2.764747901,14.91505191,16.82339036,5.030424414
3.554096033,19.26642748,23.11921784,7.083378277
4.431255606,24.12633924,30.60962306,9.586143314
5.382871443,29.4232778,39.25975577,12.54139412
6.394326951,35.07750457,48.99871789,15.93722209
7.450594761,41.0058944,59.72700354,19.74913118
8.536910842,47.12584928,71.3242318,23.94245496
9.639274874,53.35826739,83.65649503,28.47489844
10.74479438,59.62964305,96.58290374,33.29899005
11.84189703,65.87341929,109.9611154,38.36430488
12.92043713,72.03073077,123.6517835,43.61938201
13.97172109,78.05067117,137.5219647,49.01330567
14.98847365,83.89020629,151.4475794,54.4969526
15.96476299,89.51383595,165.3150538,60.02392861
16.89589957,94.8930889,179.0222802,65.55122933
17.77831999,100.0059172,192.4790282,71.0396653
18.60946443,104.8360405,205.6069298,76.45409221
19.38765389,109.3722783,218.3391452,81.76348496
20.11197155,113.6078954,230.6197991,86.94089054
20.78215116,117.5399799,242.4032639,91.96329023
21.39847393,121.1688646,253.6533479,96.81139691
21.96167518,124.497597,264.3424364,101.4694087
22.47286063,127.5314631,274.4506206,105.9247363
22.9334325,130.2775628,283.9648412,110.1677168
23.34502477,132.7444357,292.8780655,114.1913259
23.70944715,134.941736,301.1885098,117.9908944
24.02863698,136.8799507,308.8989163,121.5638358
24.30461827,138.5701586,316.015888,124.9093884
24.53946725,140.0238261,322.5492834,128.0283746
24.73528362,141.2526351,328.5116705,130.9229786
24.89416675,142.2683396,333.9178382,133.596543
25.01819633,143.0826477,338.7843623,136.0533843
25.10941677,143.7071253,343.1292227,138.2986268
0.061779908,0.30964242,0.136305995,0.028147232
0.154356677,0.785370038,0.419096347,0.093351548
0.326892778,1.684228097,1.055101973,0.250326642
0.610020662,3.176501391,2.279189158,0.570402302
1.031186265,5.418664848,4.367586921,1.14424143
1.611192217,8.53348776,7.607779438,2.073761801
2.36225692,12.59802592,12.2671316,3.461907529
3.287545181,17.63968647,18.56664669,5.402615876
4.381830128,23.63876424,26.66327686,7.97268541
5.632862609,30.53522975,36.64149097,11.22639801
7.023066844,38.23767082,48.51298321,15.19301328
8.531276306,46.63275269,62.22251966,19.87677016
10.13432526,55.5940982,77.65773443,25.2587948
11.80839692,64.98996288,94.66092132,31.30026356
13.53009188,74.68943771,113.0412894,37.94623387
15.27722113,84.56715476,132.5866095,45.12967269
17.02935147,94.50661534,153.0735866,52.77534265
18.76814199,104.4023338,174.2766232,60.80332565
20.47751285,114.1610148,195.9748699,69.1320616
22.14368565,123.7019774,217.9576257,77.68085449
23.75512985,132.9570169,240.0282376,86.37184919
25.30244418,141.8698692,262.0067034,95.13151584
26.77819621,150.3954106,283.7311931,103.8916971
28.17673833,158.4986973,305.0587014,112.5902819
29.49401349,166.1539269,325.8650234,121.1715703
30.72736066,173.3433793,346.0442249,129.5863907
31.8753268,180.05638,365.5077496,137.7920256
32.93748989,186.288314,384.1832828,145.7519926
33.91429566,192.0397086,402.0134644,153.4357239
34.80690949,197.3153939,418.9545279,160.8181751
35.61708383,202.1237477,434.9749202,167.8793934
36.34704105,206.4760223,450.0539437,174.6040644
36.99937083,210.3857524,464.1804522,180.9810551
37.57694139,213.8682388,477.3516188,187.0029654
38.08282317,216.940102,489.5717896,192.6656958
38.52022404,219.618901,500.8514296,197.9680393
38.8924346,221.9228088,511.2061635,202.9112993
39.20278263,223.8703399,520.6559102,207.4989375
39.45459541,225.480123,529.2241086,211.7362516
39.65116905,226.7707142,536.9370296,215.6300826
39.79574371,227.7604445,543.8231692,219.1885521
0.097914555,0.490750163,0.216030444,0.044610356
0.244638847,1.244727626,0.664222948,0.147952233
0.518090139,2.669321645,1.672223934,0.396740991
0.966817595,5.03441543,3.612271381,0.904026725
1.634320092,8.588005031,6.922158779,1.813500453
2.553567576,13.52466666,12.05751784,3.286690962
3.743924912,19.96652552,19.44209337,5.486753675
5.210407977,27.957019,29.42615194,8.562569124
6.94473274,37.46491652,42.25844599,12.63585483
8.927485602,48.39507776,58.0728496,17.79264178
11.13081083,60.60262419,76.88789683,24.07930332
13.52116174,73.90793228,98.61604782,31.50255772
16.06182311,88.11070778,123.0792146,40.03249193
18.71504789,103.0021497,150.0274498,49.60757464
21.44375051,118.3747814,179.1583701,60.14072774
24.21276376,134.0299079,210.1356148,71.52571102
26.98970322,149.7828913,242.6052854,83.6432813
29.74550047,165.4665481,276.2098337,96.36677689
32.45467071,180.9330153,310.5992372,109.5669338
35.09537664,196.0544219,345.4395572,123.1158575
37.64934359,210.7226709,380.4191198,136.8901558
40.10167153,224.8485899,415.2526405,150.7732918
42.44058088,238.3606624,449.6836365,164.6572435
44.65712077,251.2035064,483.4854592,178.4435714
46.7448612,263.3362277,516.4612573,192.0439969
48.69958473,274.7307418,548.4431363,205.3805885
50.51898846,285.3701309,579.2907442,218.3856433
52.20240351,295.2470808,608.8894695,231.0013409
53.75053632,304.3624268,637.1484029,243.1792343
55.1652339,312.7238246,663.9981793,254.879631
56.4492737,320.3445518,689.3887899,266.0709078
57.60617792,327.2424422,713.2874316,276.728793
58.64005095,333.4389468,735.6764388,286.8356422
59.5554386,338.9583157,756.551331,296.3797268
60.35720719,343.8268908,775.9189965,305.3545497
61.05044085,348.0725012,793.7960211,313.7581978
61.64035483,351.723949,810.2071684,321.592737
62.13222331,354.8105776,825.1840077,328.8636536
62.53131968,357.3619119,838.763687,335.5793437
62.8428679,359.4073613,850.987843,341.75065
63.07200329,360.9759781,861.9016387,347.390444
0.155184112,0.777786593,0.34238518,0.07070265
0.387726444,1.972760341,1.052722428,0.234488487
0.821117534,4.230589704,2.650296329,0.628792095
1.532302624,7.979010744,5.725064321,1.432785802
2.590222788,13.61107071,10.97088233,2.874204523
4.047131868,21.43515212,19.10987794,5.209054131
5.933721106,31.64481037,30.81364143,8.695918549
8.257940132,44.30888909,46.63730789,13.57075751
11.00665964,59.37789115,66.97512337,20.0264803
14.14911116,76.7010293,92.039264,28.19943684
17.64114631,96.04868652,121.8591043,38.16312391
21.4295972,117.1361787,156.2959029,49.92818928
25.4562741,139.646061,195.0674094,63.44722393
29.66135199,163.2474059,237.7774838,78.62270734
33.9860542,187.6113852,283.9468812,95.31662999
38.37464446,212.4230886,333.0425053,113.3606125
42.7757969,237.3898848,384.5034653,132.5656671
47.1434412,262.2468057,437.7630851,152.7310487
51.43718667,286.7595042,492.2666166,173.6518875
55.62242352,310.7253186,547.4848026,195.1254844
59.67018836,333.9729266,602.9236732,216.956276
63.55686621,356.3609995,658.1310831,238.9595638
67.26378772,377.7761913,712.7005342,260.9641443
70.7767667,398.1307272,766.2728129,282.8140015
74.0856123,417.3597946,818.5359308,304.3692233
77.18364032,435.4188824,869.2237932,325.5062965
80.06720089,452.2811778,918.1139569,346.1179194
82.73523395,467.9350884,965.0247752,366.1124527
85.18885911,482.3819383,1009.812166,385.413113
87.43100366,495.6338607,1052.366194,403.956992
89.4660696,507.7118994,1092.6076,421.6939704
91.29963923,518.644319,1130.484395,438.5855802
92.93821756,528.465117,1165.96858,454.6038567
94.38900921,537.2127271,1199.053054,469.7302114
95.65972679,544.9288986,1229.748735,483.9543471
96.75842809,551.6577376,1258.08191,497.2732318
97.69337875,557.4448924,1284.091826,509.6901395
98.47293776,562.3368691,1307.828516,521.2137658
99.10546288,566.3804614,1329.350858,531.8574174
99.59923352,569.6222802,1348.724839,541.6382787
99.96238865,572.1083703,1366.02204,550.5767499
0.245950243,1.232708677,0.542643941,0.112056148
0.614505001,3.126614435,1.66845261,0.371639207
1.30138359,6.705032823,4.200436609,0.996568311
2.428535998,12.64587981,9.073615469,2.270812464
4.105226464,21.57209331,17.38767671,4.555307182
6.414271747,33.97242667,30.28711546,8.255794431
9.404314187,50.15364454,48.83633054,13.78210211
13.0879531,70.22485668,73.91515179,21.5082012
17.44437994,94.10761547,106.1484171,31.7398323
22.42482995,121.5629392,145.872403,44.69309548
27.9593327,152.2269094,193.1336648,60.48447529
33.96362272,185.6483323,247.7123125,79.13084729
40.34547553,221.3240914,309.1610092,100.5570733
47.01007485,258.7297024,376.8519155,124.6085936
53.86426595,297.3440072,450.025479,151.066678
60.81971277,336.667907,527.8367995,179.664463
67.7950693,376.2376123,609.3969247,210.1024234
74.71731903,415.6331771,693.8077334,242.0623993
81.52244699,454.4831861,780.1900096,275.2196944
88.15560039,492.4664421,867.7049366,309.2530519
94.57087533,529.3114179,955.5696252,343.852525
100.7308446,564.7941222,1043.067473,378.725386
106.6059193,598.7349138,1129.554225,413.6002958
112.1736157,630.9946793,1214.460565,448.2299857
117.4177826,661.4706972,1297.292025,482.39271
122.3278261,690.0924226,1377.626873,515.8927135
126.8979616,716.8173597,1455.11256,548.5599342
131.1265091,741.6271361,1529.461197,580.2491339
135.0152429,764.5238502,1600.444428,610.8386191
138.5688025,785.5267318,1667.888017,640.2286867
141.7941647,804.6691331,1731.666347,668.339903
144.7001767,821.9958504,1791.697021,695.1113003
147.2971483,837.5607663,1847.935665,720.4985577
149.5964981,851.424794,1900.371023,744.4722143
151.6104498,863.6541018,1949.020399,767.0159503
153.351774,874.3185929,1993.925455,788.1249599
154.8335709,883.4906151,2035.148393,807.8044324
156.0690887,891.2438757,2072.768512,826.0681492
157.0715735,897.6525377,2106.879125,842.9372002
157.8541472,902.7904741,2137.584816,858.4388207
158.4297093,906.7306614,2164.999032,872.6053428
0.389804865,1.95371159,0.860032688,0.177597027
0.973924793,4.955349933,2.644319183,0.58900845
2.062553993,10.62676088,6.657243388,1.579454333
3.84897017,20.04236882,14.38071139,3.598995216
6.506345476,34.18946383,27.55761046,7.219675342
10.16593563,53.84266776,48.00184311,13.08455239
14.90483353,79.48816981,77.40036781,21.84315981
20.74300777,111.2988973,117.1476209,34.08820167
27.64747901,149.1505191,168.2339036,50.30424414
35.54096033,192.6642748,231.1921784,70.83378277
44.31255606,241.2633924,306.0962306,95.86143314
53.82871443,294.232778,392.5975577,125.4139412
63.94326951,350.7750457,489.9871789,159.3722209
74.50594761,410.058944,597.2700354,197.4913118
85.36910842,471.2584928,713.242318,239.4245496
96.39274874,533.5826739,836.5649503,284.7489844
107.4479438,596.2964305,965.8290374,332.9899005
118.4189703,658.7341929,1099.611154,383.6430488
129.2043713,720.3073077,1236.517835,436.1938201
139.7172109,780.5067117,1375.219647,490.1330567
149.8847365,838.9020629,1514.475794,544.969526
159.6476299,895.1383595,1653.150538,600.2392861
168.9589957,948.930889,1790.222802,655.5122933
177.7831999,1000.059172,1924.790282,710.396653
186.0946443,1048.360405,2056.069298,764.5409221
193.8765389,1093.722783,2183.391452,817.6348496
201.1197155,1136.078954,2306.197991,869.4089054
207.8215116,1175.399799,2424.032639,919.6329023
213.9847393,1211.688646,2536.533479,968.1139691
219.6167518,1244.97597,2643.424364,1014.694087
224.7286063,1275.314631,2744.506206,1059.247363
229.334325,1302.775628,2839.648412,1101.677168
233.4502477,1327.444357,2928.780655,1141.913259
237.0944715,1349.41736,3011.885098,1179.908944
240.2863698,1368.799507,3088.989163,1215.638358
243.0461827,1385.701586,3160.15888,1249.093884
245.3946725,1400.238261,3225.492834,1280.283746
247.3528362,1412.526351,3285.116705,1309.229786
248.9416675,1422.683396,3339.178382,1335.96543
250.1819633,1430.826477,3387.843623,1360.533843
251.0941677,1437.071253,3431.292227,1382.986268
0.617799078,3.096424199,1.363059952,0.281472318
1.543566774,7.853700376,4.190963472,0.933515482
3.268927782,16.84228097,10.55101973,2.50326642
6.100206621,31.76501391,22.79189158,5.704023017
10.31186265,54.18664848,43.67586921,11.4424143
16.11192217,85.3348776,76.07779438,20.73761801
23.6225692,125.9802592,122.671316,34.61907529
32.87545181,176.3968647,185.6664669,54.02615876
43.81830128,236.3876424,266.6327686,79.7268541
56.32862609,305.3522975,366.4149097,112.2639801
70.23066844,382.3767082,485.1298321,151.9301328
85.31276306,466.3275269,622.2251966,198.7677016
101.3432526,555.940982,776.5773443,252.587948
118.0839692,649.8996288,946.6092132,313.0026356
135.3009188,746.8943771,1130.412894,379.4623387
152.7722113,845.6715476,1325.866095,451.2967269
170.2935147,945.0661534,1530.735866,527.7534265
187.6814199,1044.023338,1742.766232,608.0332565
204.7751285,1141.610148,1959.748699,691.320616
221.4368565,1237.019774,2179.576257,776.8085449
237.5512985,1329.570169,2400.282376,863.7184919
253.0244418,1418.698692,2620.067034,951.3151584
267.7819621,1503.954106,2837.311931,1038.916971
281.7673833,1584.986973,3050.587014,1125.902819
294.9401349,1661.539269,3258.650234,1211.715703
307.2736066,1733.433793,3460.442249,1295.863907
318.753268,1800.5638,3655.077496,1377.920256
329.3748989,1862.88314,3841.832828,1457.519926
339.1429566,1920.397086,4020.134644,1534.357239
348.0690949,1973.153939,4189.545279,1608.181751
356.1708383,2021.237477,4349.749202,1678.793934
363.4704105,2064.760223,4500.539437,1746.040644
369.9937083,2103.857524,4641.804522,1809.810551
375.7694139,2138.682388,4773.516188,1870.029654
380.8282317,2169.40102,4895.717896,1926.656958
385.2022404,2196.18901,5008.514296,1979.680393
388.924346,2219.228088,5112.061635,2029.112993
392.0278263,2238.703399,5206.559102,2074.989375
394.5459541,2254.80123,5292.241086,2117.362516
396.5116905,2267.707142,5369.370296,2156.300826
397.9574371,2277.604445,5438.231692,2191.885521
0.979145553,4.907501634,2.160304439,0.446103561
2.446388472,12.44727626,6.642229477,1.479522333
5.180901389,26.69321645,16.72223934,3.967409908
9.668175946,50.3441543,36.12271381,9.04026725
16.34320092,85.88005031,69.22158779,18.13500453
25.53567576,135.2466666,120.5751784,32.86690962
37.43924912,199.6652552,194.4209337,54.86753675
52.10407977,279.57019,294.2615194,85.62569124
69.4473274,374.6491652,422.5844599,126.3585483
89.27485602,483.9507776,580.728496,177.9264178
111.3081083,606.0262419,768.8789683,240.7930332
135.2116174,739.0793228,986.1604782,315.0255772
160.6182311,881.1070778,1230.792146,400.3249193
187.1504789,1030.021497,1500.274498,496.0757464
214.4375051,1183.747814,1791.583701,601.4072774
242.1276376,1340.299079,2101.356148,715.2571102
269.8970322,1497.828913,2426.052854,836.432813
297.4550047,1654.665481,2762.098337,963.6677689
324.5467071,1809.330153,3105.992372,1095.669338
350.9537664,1960.544219,3454.395572,1231.158575
376.4934359,2107.226709,3804.191198,1368.901558
401.0167153,2248.485899,4152.526405,1507.732918
424.4058088,2383.606624,4496.836365,1646.572435
446.5712077,2512.035064,4834.854592,1784.435714
467.448612,2633.362277,5164.612573,1920.439969
486.9958473,2747.307418,5484.431363,2053.805885
505.1898846,2853.701309,5792.907442,2183.856433
522.0240351,2952.470808,6088.894695,2310.013409
537.5053632,3043.624268,6371.484029,2431.792343
551.652339,3127.238246,6639.981793,2548.79631
564.492737,3203.445518,6893.887899,2660.709078
576.0617792,3272.424422,7132.874316,2767.28793
586.4005095,3334.389468,7356.764388,2868.356422
595.554386,3389.583157,7565.51331,2963.797268
603.5720719,3438.268908,7759.189965,3053.545497
610.5044085,3480.725012,7937.960211,3137.581978
616.4035483,3517.23949,8102.071684,3215.92737
621.3222331,3548.105776,8251.840077,3288.636536
625.3131968,3573.619119,8387.63687,3355.793437
628.428679,3594.073613,8509.87843,3417.5065
630.7200329,3609.759781,8619.016387,3473.90444
1.551841121,7.777865932,3.423851799,0.707026497
3.877264435,19.72760341,10.52722428,2.344884873
8.211175342,42.30589704,26.50296329,6.287920954
15.32302624,79.79010744,57.25064321,14.32785802
25.90222788,136.1107071,109.7088233,28.74204523
40.47131868,214.3515212,191.0987794,52.09054131
59.33721106,316.4481037,308.1364143,86.95918549
82.57940132,443.0888909,466.3730789,135.7075751
110.0665964,593.7789115,669.7512337,200.264803
141.4911116,767.010293,920.39264,281.9943684
176.4114631,960.4868652,1218.591043,381.6312391
214.295972,1171.361787,1562.959029,499.2818928
254.562741,1396.46061,1950.674094,634.4722393
296.6135199,1632.474059,2377.774838,786.2270734
339.860542,1876.113852,2839.468812,953.1662999
383.7464446,2124.230886,3330.425053,1133.606125
427.757969,2373.898848,3845.034653,1325.656671
471.434412,2622.468057,4377.630851,1527.310487
514.3718667,2867.595042,4922.666166,1736.518875
556.2242352,3107.253186,5474.848026,1951.254844
596.7018836,3339.729266,6029.236732,2169.56276
635.5686621,3563.609995,6581.310831,2389.595638
672.6378772,3777.761913,7127.005342,2609.641443
707.767667,3981.307272,7662.728129,2828.140015
740.856123,4173.597946,8185.359308,3043.692233
771.8364032,4354.188824,8692.237932,3255.062965
800.6720089,4522.811778,9181.139569,3461.179194
827.3523395,4679.350884,9650.247752,3661.124527
851.8885911,4823.819383,10098.12166,3854.13113
874.3100366,4956.338607,10523.66194,4039.56992
894.660696,5077.118994,10926.076,4216.939704
912.9963923,5186.44319,11304.84395,4385.855802
929.3821756,5284.65117,11659.6858,4546.038567
943.8900921,5372.127271,11990.53054,4697.302114
956.5972679,5449.288986,12297.48735,4839.543471
967.5842809,5516.577376,12580.8191,4972.732318
976.9337875,5574.448924,12840.91826,5096.901395
984.7293776,5623.368691,13078.28516,5212.137658
991.0546288,5663.804614,13293.50858,5318.574174
995.9923352,5696.222802,13487.24839,5416.382787
999.6238865,5721.083703,13660.2204,5505.767499
2.459502428,12.32708677,5.426439408,1.120561483
6.145050009,31.26614435,16.6845261,3.716392073
13.0138359,67.05032823,42.00436609,9.965683115
24.28535998,126.4587981,90.73615469,22.70812464
41.05226464,215.7209331,173.8767671,45.55307182
64.14271747,339.7242667,302.8711546,82.55794431
94.04314187,501.5364454,488.3633054,137.8210211
130.879531,702.2485668,739.1515179,215.082012
174.4437994,941.0761547,1061.484171,317.398323
224.2482995,1215.629392,1458.72403,446.9309548
279.593327,1522.269094,1931.336648,604.8447529
339.6362272,1856.483323,2477.123125,791.3084729
403.4547553,2213.240914,3091.610092,1005.570733
470.1007485,2587.297024,3768.519155,1246.085936
538.6426595,2973.440072,4500.25479,1510.66678
608.1971277,3366.67907,5278.367995,1796.64463
677.950693,3762.376123,6093.969247,2101.024234
747.1731903,4156.331771,6938.077334,2420.623993
815.2244699,4544.831861,7801.900096,2752.196944
881.5560039,4924.664421,8677.049366,3092.530519
945.7087533,5293.114179,9555.696252,3438.52525
1007.308446,5647.941222,10430.67473,3787.25386
1066.059193,5987.349138,11295.54225,4136.002958
1121.736157,6309.946793,12144.60565,4482.299857
1174.177826,6614.706972,12972.92025,4823.9271
1223.278261,6900.924226,13776.26873,5158.927135
1268.979616,7168.173597,14551.1256,5485.599342
1311.265091,7416.271361,15294.61197,5802.491339
1350.152429,7645.238502,16004.44428,6108.386191
1385.688025,7855.267318,16678.88017,6402.286867
1417.941647,8046.691331,17316.66347,6683.39903
1447.001767,8219.958504,17916.97021,6951.113003
1472.971483,8375.607663,18479.35665,7204.985577
1495.964981,8514.24794,19003.71023,7444.722143
1516.104498,8636.541018,19490.20399,7670.159503
1533.51774,8743.185929,19939.25455,7881.249599
1548.335709,8834.906151,20351.48393,8078.044324
1560.690887,8912.438757,20727.68512,8260.681492
1570.715735,8976.525377,21068.79125,8429.372002
1578.541472,9027.904741,21375.84816,8584.388207
1584.297093,9067.306614,21649.99032,8726.053428
3.898048655,19.5371159,8.600326877,1.775970266
9.739247927,49.55349933,26.44319183,5.890084497
20.62553993,106.2676088,66.57243388,15.79454333
38.4897017,200.4236882,143.8071139,35.98995216
65.06345476,341.8946383,275.5761046,72.19675342
101.6593563,538.4266776,480.0184311,130.8455239
149.0483353,794.8816981,774.0036781,218.4315981
207.4300777,1112.988973,1171.476209,340.8820167
276.4747901,1491.505191,1682.339036,503.0424414
355.4096033,1926.642748,2311.921784,708.3378277
443.1255606,2412.633924,3060.962306,958.6143314
538.2871443,2942.32778,3925.975577,1254.139412
639.4326951,3507.750457,4899.871789,1593.722209
745.0594761,4100.58944,5972.700354,1974.913118
853.6910842,4712.584928,7132.42318,2394.245496
963.9274874,5335.826739,8365.649503,2847.489844
1074.479438,5962.964305,9658.290374,3329.899005
1184.189703,6587.341929,10996.11154,3836.430488
1292.043713,7203.073077,12365.17835,4361.938201
1397.172109,7805.067117,13752.19647,4901.330567
1498.847365,8389.020629,15144.75794,5449.69526
1596.476299,8951.383595,16531.50538,6002.392861
1689.589957,9489.30889,17902.22802,6555.122933
1777.831999,10000.59172,19247.90282,7103.96653
1860.946443,10483.60405,20560.69298,7645.409221
1938.765389,10937.22783,21833.91452,8176.348496
2011.197155,11360.78954,23061.97991,8694.089054
2078.215116,11753.99799,24240.32639,9196.329023
2139.847393,12116.88646,25365.33479,9681.139691
2196.167518,12449.7597,26434.24364,10146.94087
2247.286063,12753.14631,27445.06206,10592.47363
2293.34325,13027.75628,28396.48412,11016.77168
2334.502477,13274.44357,29287.80655,11419.13259
2370.944715,13494.1736,30118.85098,11799.08944
2402.863698,13687.99507,30889.89163,12156.38358
2430.461827,13857.01586,31601.5888,12490.93884
2453.946725,14002.38261,32254.92834,12802.83746
2473.528362,14125.26351,32851.16705,13092.29786
2489.416675,14226.83396,33391.78382,13359.6543
2501.819633,14308.26477,33878.43623,13605.33843
2510.941677,14370.71253,34312.92227,13829.86268
