ry_int,ry_out,lambda
7.00E-15,6.99E-15,1203.776973
7.00E-15,6.99E-15,1203.786943
7.00E-15,6.99E-15,1203.796913
7.00E-15,6.99E-15,1203.806883
7.00E-15,6.99E-15,1203.816853
7.00E-15,6.99E-15,1203.826823
7.00E-15,6.99E-15,1203.836793
7.00E-15,6.99E-15,1203.846763
7.00E-15,6.99E-15,1203.856733
7.00E-15,6.99E-15,1203.866703
7.00E-15,6.99E-15,1203.876673
7.00E-15,6.99E-15,1203.886643
7.00E-15,6.99E-15,1203.896613
7.00E-15,6.99E-15,1203.906583
7.00E-15,6.99E-15,1203.916553
7.00E-15,6.99E-15,1203.926523
7.00E-15,6.99E-15,1203.936493
7.00E-15,6.99E-15,1203.946463
7.00E-15,6.99E-15,1203.956433
7.00E-15,6.99E-15,1203.966403
7.00E-15,6.99E-15,1203.976373
7.00E-15,6.99E-15,1203.986343
7.00E-15,6.99E-15,1203.996313
7.00E-15,6.99E-15,1204.006283
7.00E-15,6.99E-15,1204.016253
7.00E-15,6.99E-15,1204.026223
7.00E-15,6.99E-15,1204.036193
7.00E-15,6.99E-15,1204.046163
7.00E-15,6.99E-15,1204.056133
7.00E-15,6.99E-15,1204.066103
7.00E-15,6.99E-15,1204.076073
7.00E-15,6.99E-15,1204.086043
7.00E-15,6.99E-15,1204.096013
7.00E-15,6.99E-15,1204.105983
7.00E-15,6.99E-15,1204.115953
7.00E-15,6.99E-15,1204.125923
7.00E-15,6.99E-15,1204.135893
7.00E-15,6.99E-15,1204.145863
7.00E-15,6.99E-15,1204.155833
7.00E-15,6.99E-15,1204.165803
7.00E-15,6.99E-15,1204.175773
7.00E-15,6.99E-15,1204.185743
7.00E-15,6.99E-15,1204.195713
7.00E-15,6.99E-15,1204.205683
7.00E-15,6.99E-15,1204.215653
7.00E-15,6.99E-15,1204.225623
7.00E-15,6.99E-15,1204.235593
7.00E-15,6.99E-15,1204.245563
7.00E-15,6.99E-15,1204.255533
7.00E-15,6.98E-15,1204.265503
7.00E-15,6.98E-15,1204.275473
7.00E-15,6.98E-15,1204.285443
7.00E-15,6.98E-15,1204.295413
7.00E-15,6.98E-15,1204.305383
7.00E-15,6.98E-15,1204.315353
7.00E-15,6.98E-15,1204.325323
7.00E-15,6.98E-15,1204.335293
7.00E-15,6.98E-15,1204.345263
7.00E-15,6.98E-15,1204.355233
7.00E-15,6.98E-15,1204.365203
7.00E-15,6.98E-15,1204.375173
7.00E-15,6.98E-15,1204.385143
7.00E-15,6.98E-15,1204.395113
7.00E-15,6.98E-15,1204.405083
7.00E-15,6.98E-15,1204.415053
7.00E-15,6.98E-15,1204.425023
7.00E-15,6.98E-15,1204.434993
7.00E-15,6.98E-15,1204.444963
7.00E-15,6.98E-15,1204.454933
7.00E-15,6.98E-15,1204.464903
7.00E-15,6.98E-15,1204.474873
7.00E-15,6.98E-15,1204.484843
7.00E-15,6.98E-15,1204.494813
7.00E-15,6.98E-15,1204.504783
7.00E-15,6.98E-15,1204.514753
7.00E-15,6.98E-15,1204.524723
7.00E-15,6.98E-15,1204.534693
7.00E-15,6.98E-15,1204.544663
7.00E-15,6.98E-15,1204.554633
7.00E-15,6.98E-15,1204.564603
7.00E-15,6.98E-15,1204.574573
7.00E-15,6.98E-15,1204.584543
7.00E-15,6.98E-15,1204.594513
7.00E-15,6.98E-15,1204.604483
7.00E-15,6.98E-15,1204.614453
7.00E-15,6.98E-15,1204.624423
7.00E-15,6.98E-15,1204.634393
7.00E-15,6.98E-15,1204.644363
7.00E-15,6.98E-15,1204.654333
7.00E-15,6.98E-15,1204.664303
7.00E-15,6.98E-15,1204.674273
7.00E-15,6.98E-15,1204.684243
7.00E-15,6.98E-15,1204.694213
7.00E-15,6.98E-15,1204.704183
7.00E-15,6.98E-15,1204.714153
7.00E-15,6.98E-15,1204.724123
7.00E-15,6.98E-15,1204.734093
7.00E-15,6.98E-15,1204.744063
7.00E-15,6.98E-15,1204.754033
7.00E-15,6.98E-15,1204.764003
7.00E-15,6.98E-15,1204.773973
7.00E-15,6.98E-15,1204.783943
7.00E-15,6.98E-15,1204.793913
7.00E-15,6.98E-15,1204.803883
7.00E-15,6.98E-15,1204.813853
7.00E-15,6.98E-15,1204.823823
7.00E-15,6.98E-15,1204.833793
7.00E-15,6.98E-15,1204.843763
7.00E-15,6.98E-15,1204.853733
7.00E-15,6.98E-15,1204.863703
7.00E-15,6.98E-15,1204.873673
7.00E-15,6.98E-15,1204.883643
7.00E-15,6.98E-15,1204.893613
7.00E-15,6.98E-15,1204.903583
7.00E-15,6.98E-15,1204.913553
7.00E-15,6.98E-15,1204.923523
7.00E-15,6.98E-15,1204.933493
7.00E-15,6.98E-15,1204.943463
7.00E-15,6.98E-15,1204.953433
7.00E-15,6.98E-15,1204.963403
7.00E-15,6.98E-15,1204.973373
7.00E-15,6.98E-15,1204.983343
7.00E-15,6.98E-15,1204.993313
7.00E-15,6.98E-15,1205.003283
7.00E-15,6.98E-15,1205.013253
7.00E-15,6.98E-15,1205.023223
7.00E-15,6.98E-15,1205.033193
7.00E-15,6.98E-15,1205.043163
7.00E-15,6.98E-15,1205.053133
7.00E-15,6.98E-15,1205.063103
7.00E-15,6.98E-15,1205.073073
7.00E-15,6.98E-15,1205.083043
7.00E-15,6.98E-15,1205.093013
7.00E-15,6.98E-15,1205.102983
7.00E-15,6.98E-15,1205.112953
7.00E-15,6.98E-15,1205.122923
7.00E-15,6.98E-15,1205.132893
7.00E-15,6.98E-15,1205.142863
7.00E-15,6.98E-15,1205.152833
7.00E-15,6.98E-15,1205.162803
7.00E-15,6.98E-15,1205.172773
7.00E-15,6.98E-15,1205.182743
7.00E-15,6.98E-15,1205.192713
7.00E-15,6.98E-15,1205.202683
7.00E-15,6.98E-15,1205.212653
7.00E-15,6.98E-15,1205.222623
7.00E-15,6.98E-15,1205.232593
7.00E-15,6.98E-15,1205.242563
7.00E-15,6.98E-15,1205.252533
7.00E-15,6.98E-15,1205.262503
7.00E-15,6.98E-15,1205.272473
7.00E-15,6.98E-15,1205.282443
7.00E-15,6.98E-15,1205.292413
7.00E-15,6.98E-15,1205.302383
7.00E-15,6.98E-15,1205.312353
7.00E-15,6.98E-15,1205.322323
7.00E-15,6.98E-15,1205.332293
7.00E-15,6.98E-15,1205.342263
7.00E-15,6.98E-15,1205.352233
7.00E-15,6.98E-15,1205.362203
7.00E-15,6.98E-15,1205.372173
7.00E-15,6.98E-15,1205.382143
7.00E-15,6.98E-15,1205.392113
7.00E-15,6.98E-15,1205.402083
7.00E-15,6.98E-15,1205.412053
7.00E-15,6.98E-15,1205.422023
7.00E-15,6.98E-15,1205.431993
7.00E-15,6.98E-15,1205.441963
7.00E-15,6.98E-15,1205.451933
7.00E-15,6.98E-15,1205.461903
7.00E-15,6.98E-15,1205.471873
7.00E-15,6.98E-15,1205.481843
7.00E-15,6.98E-15,1205.491813
7.00E-15,6.98E-15,1205.501783
7.00E-15,6.98E-15,1205.511753
7.00E-15,6.98E-15,1205.521723
7.00E-15,6.98E-15,1205.531693
7.00E-15,6.98E-15,1205.541663
7.00E-15,6.98E-15,1205.551633
7.00E-15,6.98E-15,1205.561603
7.00E-15,6.98E-15,1205.571573
7.00E-15,6.98E-15,1205.581543
7.00E-15,6.98E-15,1205.591513
7.00E-15,6.98E-15,1205.601483
7.00E-15,6.98E-15,1205.611453
7.00E-15,6.98E-15,1205.621423
7.00E-15,6.98E-15,1205.631393
7.00E-15,6.98E-15,1205.641363
7.00E-15,6.98E-15,1205.651333
7.00E-15,6.98E-15,1205.661303
7.00E-15,6.98E-15,1205.671273
7.00E-15,6.98E-15,1205.681243
7.00E-15,6.98E-15,1205.691213
7.00E-15,6.98E-15,1205.701183
7.00E-15,6.98E-15,1205.711153
7.00E-15,6.98E-15,1205.721123
7.00E-15,6.98E-15,1205.731093
7.00E-15,6.98E-15,1205.741063
7.00E-15,6.98E-15,1205.751033
7.00E-15,6.98E-15,1205.761003
7.00E-15,6.98E-15,1205.770973
7.00E-15,6.98E-15,1205.780943
7.00E-15,6.98E-15,1205.790913
7.00E-15,6.98E-15,1205.800883
7.00E-15,6.98E-15,1205.810853
7.00E-15,6.98E-15,1205.820823
7.00E-15,6.98E-15,1205.830793
7.00E-15,6.98E-15,1205.840763
7.00E-15,6.98E-15,1205.850733
7.00E-15,6.98E-15,1205.860703
7.00E-15,6.98E-15,1205.870673
7.00E-15,6.98E-15,1205.880643
7.00E-15,6.98E-15,1205.890613
7.00E-15,6.98E-15,1205.900583
7.00E-15,6.98E-15,1205.910553
7.00E-15,6.98E-15,1205.920523
7.00E-15,6.98E-15,1205.930493
7.00E-15,6.98E-15,1205.940463
7.00E-15,6.98E-15,1205.950433
7.00E-15,6.98E-15,1205.960403
7.00E-15,6.98E-15,1205.970373
7.00E-15,6.98E-15,1205.980343
7.00E-15,6.98E-15,1205.990313
7.00E-15,6.98E-15,1206.000283
7.00E-15,6.98E-15,1206.010253
7.00E-15,6.98E-15,1206.020223
7.00E-15,6.98E-15,1206.030193
7.00E-15,6.98E-15,1206.040163
7.00E-15,6.98E-15,1206.050133
7.00E-15,6.98E-15,1206.060103
7.00E-15,6.98E-15,1206.070073
7.00E-15,6.98E-15,1206.080043
7.00E-15,6.98E-15,1206.090013
7.00E-15,6.98E-15,1206.099983
7.00E-15,6.98E-15,1206.109953
7.00E-15,6.98E-15,1206.119923
7.00E-15,6.98E-15,1206.129893
7.00E-15,6.98E-15,1206.139863
7.00E-15,6.98E-15,1206.149833
7.00E-15,6.98E-15,1206.159803
7.00E-15,6.98E-15,1206.169773
7.00E-15,6.98E-15,1206.179743
7.00E-15,6.98E-15,1206.189713
7.00E-15,6.98E-15,1206.199683
7.00E-15,6.98E-15,1206.209653
7.00E-15,6.98E-15,1206.219623
7.00E-15,6.98E-15,1206.229593
7.00E-15,6.98E-15,1206.239563
7.00E-15,6.98E-15,1206.249533
7.00E-15,6.98E-15,1206.259503
7.00E-15,6.98E-15,1206.269473
7.00E-15,6.98E-15,1206.279443
7.00E-15,6.98E-15,1206.289413
7.00E-15,6.98E-15,1206.299383
7.00E-15,6.98E-15,1206.309353
7.00E-15,6.98E-15,1206.319323
7.00E-15,6.98E-15,1206.329293
7.00E-15,6.98E-15,1206.339263
7.00E-15,6.98E-15,1206.349233
7.00E-15,6.98E-15,1206.359203
7.00E-15,6.98E-15,1206.369173
7.00E-15,6.98E-15,1206.379143
7.00E-15,6.98E-15,1206.389113
7.00E-15,6.98E-15,1206.399083
7.00E-15,6.98E-15,1206.409053
7.00E-15,6.98E-15,1206.419023
7.00E-15,6.98E-15,1206.428993
7.00E-15,6.98E-15,1206.438963
7.00E-15,6.98E-15,1206.448933
7.00E-15,6.98E-15,1206.458903
7.00E-15,6.98E-15,1206.468873
7.00E-15,6.98E-15,1206.478843
7.00E-15,6.98E-15,1206.488813
7.00E-15,6.98E-15,1206.498783
7.00E-15,6.98E-15,1206.508753
7.00E-15,6.98E-15,1206.518723
7.00E-15,6.98E-15,1206.528693
7.00E-15,6.98E-15,1206.538663
7.00E-15,6.98E-15,1206.548633
7.00E-15,6.98E-15,1206.558603
7.00E-15,6.98E-15,1206.568573
7.00E-15,6.98E-15,1206.578543
7.00E-15,6.98E-15,1206.588513
7.00E-15,6.98E-15,1206.598483
7.00E-15,6.98E-15,1206.608453
7.00E-15,6.98E-15,1206.618423
7.00E-15,6.98E-15,1206.628393
7.00E-15,6.98E-15,1206.638363
7.00E-15,6.98E-15,1206.648333
7.00E-15,6.98E-15,1206.658303
7.00E-15,6.98E-15,1206.668273
7.00E-15,6.98E-15,1206.678243
7.00E-15,6.98E-15,1206.688213
7.00E-15,6.98E-15,1206.698183
7.00E-15,6.98E-15,1206.708153
7.00E-15,6.97E-15,1206.718123
7.00E-15,6.97E-15,1206.728093
7.00E-15,6.97E-15,1206.738063
7.00E-15,6.97E-15,1206.748033
7.00E-15,6.97E-15,1206.758003
7.00E-15,6.97E-15,1206.767973
7.00E-15,6.97E-15,1206.777943
7.00E-15,6.97E-15,1206.787913
7.00E-15,6.97E-15,1206.797883
7.00E-15,6.97E-15,1206.807853
7.00E-15,6.97E-15,1206.817823
7.00E-15,6.97E-15,1206.827793
7.00E-15,6.97E-15,1206.837763
7.00E-15,6.97E-15,1206.847733
7.00E-15,6.97E-15,1206.857703
7.00E-15,6.97E-15,1206.867673
7.00E-15,6.97E-15,1206.877643
7.00E-15,6.97E-15,1206.887613
7.00E-15,6.97E-15,1206.897583
7.00E-15,6.97E-15,1206.907553
7.00E-15,6.97E-15,1206.917523
7.00E-15,6.97E-15,1206.927493
7.00E-15,6.97E-15,1206.937463
7.00E-15,6.97E-15,1206.947433
